ID	MP Name	Nature of membership	Start of Term	End of Term	Number of terms	Constituency	State	Political party	Gender	Educational qualifications	Educational qualifications - details	Age	Debates	Private Member Bills	Questions	Attendance	Notes	National Debates average	National Private Member Bills average	National Questions average	National Attendance average	State's Debates average	State's Private Member Bills average	State Questions	State's Attendance average		House
1679	Mekapati Rajamohan Reddy	Elected	Friday, June 15, 2012	In office		Nellore	Andhra Pradesh	Yuvajana Sramika Rythu Congress Party	Male	Graduate	B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh	69	5	0	240	52%	This MP resigned on 28th Feb, 2012 and was re-elected on 15th Jun 2012. During his previous term he was affiliated with INC. (His participation is from 4th Jun, 2009 to 28th Feb, 2012 and 15th Jun, 2012 onwards.) (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	31.5	0.7	268	76%	17.4	0.4	306	68%		Lok Sabha
1680	Milind Murli Deora	Elected	Monday, May 18, 2009	In office		Mumbai-South	Maharashtra	Indian National Congress	Male	Graduate	BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA	37	0	0	274	88%	This MP was appointed a minister in Jul, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	15.9	0.4	119	76%	12.1	0.8	200	74%		Lok Sabha
1681	Mirza Mehboob Beg	Elected	Monday, May 18, 2009	In office		Anantnag	Jammu and Kashmir		Male	Graduate	M.B.B.S.; Educated at Srinagar Medical College	64	58	0	27	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	44.4	0	96	88%		Lok Sabha
1682	Mithlesh Kumar	Elected	Monday, May 18, 2009	In office		Shahjahanpur	Uttar Pradesh	Samajwadi Party	Male	Graduate	B.Sc.; Educated at Bareli College, (Uttar Pradesh)	49	21	0	154	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1683	Modugula Venugopala Reddy	Elected	Monday, May 18, 2009	In office		Narasaraopet	Andhra Pradesh	Telugu Desam Party	Male	Graduate	B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune	47	29	0	485	67%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1684	Mohammed Azharuddin	Elected	Monday, May 18, 2009	In office		Moradabad	Uttar Pradesh	Indian National Congress	Male	Graduate	B.Com; Educated at Nizam College (Osmania University)	51	2	0	5	75%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1685	Mohan Jena	Elected	Monday, May 18, 2009	In office		Jajpur	Orissa	Biju Janata Dal	Male	Post Graduate	M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa	56	28	2	49	75%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1686	Mohinder Singh Kaypee	Elected	Monday, May 18, 2009	In office		Jalandhar	Punjab	Indian National Congress	Male	Graduate	B.A., L.L.B.; Educated at Punjab University, Chandigarh	57	10	0	4	90%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	23.8	0.7	170	78%		Lok Sabha
1687	Monazir Hassan	Elected	Monday, May 18, 2009	In office		Begusarai	Bihar	Janata Dal (United)	Male	Doctorate	M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity	57	10	0	23	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1688	Mukul Balkrishna Wasnik	Elected	Monday, May 18, 2009	In office		Ramtek	Maharashtra	Indian National Congress	Male	Post Graduate	M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra	54	0	0	0	75%	This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	9.1	0.2	85	76%	7.5	0.5	146	74%		Lok Sabha
1689	Mulayam Singh Yadav	Elected	Monday, May 18, 2009	In office		Mainpuri	Uttar Pradesh	Samajwadi Party	Male	Post Graduate	B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh	74	117	0	0	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1690	Munde Gopinathrao Pandurang	Elected	Monday, May 18, 2009	In office		Beed	Maharashtra	Bharatiya Janata Party	Male	Graduate	B.Com., B.G.L.; Educated at Marathwada and Pune University	64	32	0	465	68%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1691	Munisamy Thambidurai	Elected	Monday, May 18, 2009	In office		Karur	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Doctorate	M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu	66	102	0	370	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1692	Murarilal Singh	Elected	Monday, May 18, 2009	Tuesday, March 12, 2013		Surguja	Chhattisgarh	Bharatiya Janata Party	Male	Inter/ Higher Secondary		61	5	0	91	66%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	36.5	0.8	281	76%	13.5	0.5	170	60%		Lok Sabha
1693	Murli Manohar Joshi	Elected	Monday, May 18, 2009	In office		Varanasi	Uttar Pradesh	Bharatiya Janata Party	Male	Doctorate	M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh	80	29	0	577	84%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1694	N Cheluvaraya Swamy @ Swamygowda	Elected	Monday, May 18, 2009	In office		Mandya	Karnataka	Janata Dal (Secular)	Male	Diploma Course	Diploma in Civil Engineering; Educated at Govt. Polytechnic, K. R. Pette, Karnataka	53	18	0	835	55%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	33.6	0.8	265	76%	17.5	0.2	304	68%		Lok Sabha
1695	N. Peethambara Kurup	Elected	Monday, May 18, 2009	In office		Kollam	Kerala	Indian National Congress	Male	Graduate	B.A., LL.B.; Educated at Kerala University, Kerala	71	35	0	189	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1696	N.Dharam Singh	Elected	Monday, May 18, 2009	In office		Bidar	Karnataka	Indian National Congress	Male	Post Graduate	MA, LL.B.; Educated at Osmania University, Hyderabad	77	4	0	50	69%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1697	N.S.V. Chitthan	Elected	Monday, May 18, 2009	In office		Dindigul	Tamil Nadu	Indian National Congress	Male	Graduate	B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai	79	61	2	486	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1698	Nalin Kumar Kateel	Elected	Monday, May 18, 2009	In office		Dakshina Kannada	Karnataka	Bharatiya Janata Party	Male	Matric	Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka	47	15	0	283	69%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1699	Nama Nageswara Rao	Elected	Monday, May 18, 2009	In office		Khammam	Andhra Pradesh	Telugu Desam Party	Male	Inter/ Higher Secondary		56	114	0	488	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1700	Namo Narain Meena	Elected	Monday, May 18, 2009	In office		Tonk-Sawai Madhopur	Rajasthan	Indian National Congress	Male	Post Graduate	M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan	70	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1701	Narahari Mahato	Elected	Monday, May 18, 2009	In office		Purulia	West Bengal	All India Forward Bloc	Male	Post Graduate	B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand	57	53	0	650	71%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1702	Naramalli Sivaprasad	Elected	Monday, May 18, 2009	In office		Chittoor	Andhra Pradesh	Telugu Desam Party	Male	Graduate	M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh)	62	5	0	16	55%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1703	Naranbhai Kachhadia	Elected	Monday, May 18, 2009	In office		Amreli	Gujarat	Bharatiya Janata Party	Male	Under Matric	Educated at Charkhadiya, Govt. of Primary School	58	86	0	768	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1704	Narayan Singh Amlabe	Elected	Monday, May 18, 2009	In office		Rajgarh	Madhya Pradesh	Indian National Congress	Male	Inter/ Higher Secondary	Educated at Madhya Pradesh Board, Bhopal	62	70	0	133	90%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	46.6	0.4	233	82%		Lok Sabha
1705	Narendra Singh Tomar	Elected	Monday, May 18, 2009	In office		Morena	Madhya Pradesh	Bharatiya Janata Party	Male	Graduate	Educated at Jiwaji University, Gwalior, Madhya Pradesh	56	10	0	215	60%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	46.6	0.4	233	82%		Lok Sabha
1706	Natubhai Gomanbhai Patel	Elected	Monday, May 18, 2009	In office		Dadra and Nagar Haveli	Dadra & Nagar Haveli	Bharatiya Janata Party	Male	Under Matric		41	2	0	33	44%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	2	0	33	44%		Lok Sabha
1707	Naveen Jindal	Elected	Monday, May 18, 2009	In office		Kurukshetra	Haryana	Indian National Congress	Male	Post Graduate	MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi	43	20	0	516	81%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	13.1	0.1	231	69%		Lok Sabha
1708	Navjot Singh Sidhu	Elected	Monday, May 18, 2009	In office		Amritsar	Punjab	Bharatiya Janata Party	Male	Graduate	B.A., LL.B.	50	3	0	99	28%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	23.8	0.7	170	78%		Lok Sabha
1709	Neeraj Shekhar	Elected	Monday, May 18, 2009	In office		Ballia	Uttar Pradesh	Samajwadi Party	Male	Graduate	B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College	45	33	0	820	93%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1710	Nikhil Kumar Choudhary	Elected	Monday, May 18, 2009	In office		Katihar	Bihar	Bharatiya Janata Party	Male	Graduate	B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar	68	33	0	183	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1711	Nilesh Narayan Rane	Elected	Monday, May 18, 2009	In office		Ratnagiri-Sindhudurg	Maharashtra	Indian National Congress	Male	Doctorate	Ph.d; Educated at Mumbai University, Maharashtra	32	19	0	606	70%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1712	Ninong Ering	Elected	Monday, May 18, 2009	In office		Arunachal East	Arunachal Pradesh	Indian National Congress	Male	Graduate	B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh	55	19	0	26	88%	This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	28.8	0.6	215	76%	13.8	0	46	75%		Lok Sabha
1713	Nirmal Khatri	Elected	Monday, May 18, 2009	In office		Faizabad	Uttar Pradesh	Indian National Congress	Male	Doctorate	M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh)	63	37	0	24	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1714	Nishikant Dubey	Elected	Monday, May 18, 2009	In office		Godda	Jharkhand	Bharatiya Janata Party	Male	Post Graduate	B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi)	45	93	5	817	95%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	38.8	0.8	251	66%		Lok Sabha
1715	Nityananda Pradhan	Elected	Monday, May 18, 2009	In office		Aska	Orissa	Biju Janata Dal	Male	Post Graduate	M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur	69	7	0	682	67%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1716	Nripendra Nath Roy	Elected	Monday, May 18, 2009	In office		Cooch Behar	West Bengal	All India Forward Bloc	Male	Graduate	B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal	54	53	0	636	75%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1717	O. S. Manian	Elected	Monday, May 18, 2009	In office		Mayiladuthurai	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Inter/ Higher Secondary	P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam	59	52	0	60	70%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1718	Om Prakash Yadav	Elected	Monday, May 18, 2009	In office		Siwan	Bihar	Independent	Male	Graduate	B.Sc.; Educated at D.A.V. College, Siwan, Bihar	51	29	9	319	73%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1719	P. Balram	Elected	Monday, May 18, 2009	In office		Mahabubabad	Andhra Pradesh	Indian National Congress	Male	Graduate	B.A.; Educated at Andhra University, Hyderabad	49	10	0	429	68%	This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	28.8	0.6	215	76%	16	0.4	266	68%		Lok Sabha
1720	P. C. Mohan	Elected	Monday, May 18, 2009	In office		Bangalore Central	Karnataka	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Educated at Vijiya College	50	5	0	252	70%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1721	P. Jaya Prada Nahata	Elected	Monday, May 18, 2009	In office		Rampur	Uttar Pradesh	Independent	Female	Graduate	B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh)	51	27	0	395	39%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1722	P. K. Biju	Elected	Monday, May 18, 2009	In office		Alathur	Kerala	Communist Party of India (Marxist)	Male	Post Graduate	M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala	39	106	0	452	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1723	P. Karunakaran	Elected	Monday, May 18, 2009	In office		Kasaragod	Kerala	Communist Party of India (Marxist)	Male	Post Graduate	M.A.; Educated at M.A. College, Kothamangalam	68	99	0	595	76%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1724	P. Kumar	Elected	Monday, May 18, 2009	In office		Tiruchirappalli	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli	42	55	0	596	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1725	P. Lingam	Elected	Monday, May 18, 2009	In office		Tenkasi	Tamil Nadu	Communist Party of India	Male	Graduate	B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu	48	87	0	334	96%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1726	P. T. Thomas	Elected	Monday, May 18, 2009	In office		Idukki	Kerala	Indian National Congress	Male	Post Graduate	M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove	63	128	9	502	96%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1727	P. Venugopal	Elected	Monday, May 18, 2009	In office		Tiruvallur	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu	61	31	0	474	89%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1728	P. Viswanathan	Elected	Monday, May 18, 2009	In office		Kancheepuram	Tamil Nadu	Indian National Congress	Male	Graduate	B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu	49	38	0	658	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1729	P.C. Chacko	Elected	Monday, May 18, 2009	In office		Thrissur	Kerala	Indian National Congress	Male	Post Graduate	B.Sc. (Geology), M.A. (Public Admn.); Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University	67	24	0	28	90%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1730	P.C. Gaddigoudar	Elected	Monday, May 18, 2009	In office		Bagalkot	Karnataka	Bharatiya Janata Party	Male	Graduate	B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum	62	8	0	413	75%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1731	P.L. Punia	Elected	Monday, May 18, 2009	In office		Barabanki	Uttar Pradesh	Indian National Congress	Male	Doctorate	M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh	69	289	11	656	99%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1732	P.R. Natarajan	Elected	Monday, May 18, 2009	In office		Coimbatore	Tamil Nadu	Communist Party of India (Marxist)	Male	Under Graduate	B.A (Incomplete); Educated at Madras University	63	34	0	432	89%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1733	Paban Singh Ghatowar	Elected	Monday, May 18, 2009	In office		Dibrugarh	Assam	Indian National Congress	Male	Graduate	B.A.; Educated at Gauhati University, Guwahati, Assam; Industrial Relations Training (U.K.), 1975	63	9	0	18	91%	This MP was appointed a minister in Jul, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	15.9	0.4	119	76%	8.6	0.2	31	80%		Lok Sabha
1734	Padamsinha Bajirao Patil	Elected	Monday, May 18, 2009	In office		Osmanabad	Maharashtra	Nationalist Congress Party	Male	Graduate	M.B.B.S.; Educated B.J. Medical College, Pune, Maharashtra	73	3	0	237	61%	Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1735	Pakauri Lal	Elected	Monday, May 18, 2009	In office		Robertsganj	Uttar Pradesh	Samajwadi Party	Male	Under Matric		61	19	0	61	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1736	Palaniappan Chidambaram	Elected	Monday, May 18, 2009	In office		Sivaganga	Tamil Nadu	Indian National Congress	Male	Post Graduate	B.Sc., B.L., M.B.A.; Educated at Madras University, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.)	68	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1737	Paramjit Kaur Gulshan	Elected	Monday, May 18, 2009	In office		Faridkot	Punjab	Shiromani Akali Dal	Female	Post Graduate	M.A. (Economics), M.A. (Sociology), B. Ed.; Educated at Punjab University, Chandigarh and Guru Nanak Dev University, Amritsar (Punjab)	65	29	0	129	80%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	23.8	0.7	170	78%		Lok Sabha
1738	Partap Singh Bajwa	Elected	Monday, May 18, 2009	In office		Gurdaspur	Punjab	Indian National Congress	Male	Graduate	B.A.; Educated at DAV College, Chandigarh, Punjab	57	37	1	359	82%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	23.8	0.7	170	78%		Lok Sabha
1739	Pashupati Nath Singh	Elected	Monday, May 18, 2009	In office		Dhanbad	Jharkhand	Bharatiya Janata Party	Male	Graduate	B.Sc.	64	24	0	301	91%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	38.8	0.8	251	66%		Lok Sabha
1740	Pawan Kumar Bansal	Elected	Monday, May 18, 2009	In office		Chandigarh	Chandigarh	Indian National Congress	Male	Graduate	B.Sc., LL.B.; Educated at Yadavindra Public School, Patiala Government College, Chandigarh; and Department of Law, Panjab University, Chandigarh	65	0	0	26	86%	This MP was a Minister. He tendered his resignation on 12th May, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 12th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	4.3	0	35	76%	0	0	26	86%		Lok Sabha
1741	Pinaki Misra	Elected	Monday, May 18, 2009	In office		Puri	Orissa	Biju Janata Dal	Male	Graduate	B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University	54	17	0	19	75%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1742	Poonamben Veljibhai Jat	Elected	Monday, May 18, 2009	In office		Kachchh	Gujarat	Bharatiya Janata Party	Female	Inter/ Higher Secondary	Educated at Somaiya College, Mumbai	42	33	0	102	82%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1743	Prabha Kishore Taviad	Elected	Monday, May 18, 2009	In office		Dahod	Gujarat	Indian National Congress	Female	Post Graduate	M.D., D.G.O.; Educated at B.J. Medical College, Ahmedabad, Gujarat	59	26	0	4	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1744	Prabhakar Ponnam	Elected	Monday, May 18, 2009	In office		Karimnagar	Andhra Pradesh	Indian National Congress	Male	Post Graduate	M.A., LL.B.; Educated at Osmania University, Hyderabad, Andhra Pradesh	46	67	0	935	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1745	Prabhatsinh Pratapsinh Chauhan	Elected	Monday, May 18, 2009	In office		Panchmahal	Gujarat	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat	72	1	0	145	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1746	Prabhunath Singh	Elected	Monday, August 5, 2013	In office		Maharajganj	Bihar	Rashtriya Janata Dal	Male	Inter/ Higher Secondary	I.S.C. (Pre-University)	60	12	0	34	81%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	4.3	0	35	76%	5	0	39	87%		Lok Sabha
1747	Prabodh Panda	Elected	Monday, May 18, 2009	In office		Medinipur	West Bengal	Communist Party of India	Male	Graduate	B.A.; Educated at Dantan Bhattar College, Calcutta University, Dantan (West Bengal)	68	148	1	585	90%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1748	Pradeep Kumar Jain Aditya	Elected	Monday, May 18, 2009	In office		Jhansi	Uttar Pradesh	Indian National Congress	Male	Post Graduate	M.A., M.Com., L.L.B.; Bundalkhand University	51	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1749	Pradeep Kumar Majhi	Elected	Monday, May 18, 2009	In office		Nabarangpur	Orissa	Indian National Congress	Male	Graduate	B.A. (Eco), Advanced diploma in Computer Application, e-commerce; Educated at Panabeda High School Chandahandi, B.J.B. College BBSR, V.D. College Jeypone and NIIT Connought Place, New Delhi	38	9	0	1101	54%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
